Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev3734-3786	6	33	16	0	547	5	63417
rev3734-3788	8	38	21	0	547	5	63461
rev3734-3807	10	179	149	1	539	6	63365
rev4989-5004	9	337	122	0	580	2	82938
rev4989-5019	26	66	64	1	580	11	82682
rev4989-5044	51	183	184	0	580	26	83202
rev4989-5058	13	80	51	0	581	4	83395
rev5266-5336	8	268	11	0	1238	4	159554
rev5319-5330	15	109	58	1	602	2	89342
rev5319-5332	12	94	42	1	602	1	89317

