Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev3734-3786	17	48	51	0	547	7	63323
rev3734-3788	18	58	73	0	547	7	63369
rev3734-3807	28	449	427	0	539	8	63593
rev4989-5004	10	407	92	0	580	2	82797
rev4989-5019	29	81	79	0	580	12	82533
rev4989-5044	48	132	133	0	580	23	82989
rev4989-5058	13	81	52	0	581	5	83240
rev5266-5336	14	108	255	0	1238	4	159230
rev5319-5330	15	158	78	0	602	2	89223
rev5319-5332	11	123	42	0	602	1	89175

