Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5884-5962	4	79	76	0	502	4	82599
rev5884-6055	12	405	87	0	507	8	83632
rev5884-6110	16	672	52	0	508	6	84205
rev5884-6265	28	958	299	0	509	12	84930
rev5884-6362	43	1141	353	0	510	19	85762
rev5884-6440	245	2828	1491	1	514	66	88761
rev5884-6616	439	3549	2088	2	516	111	91013
rev5884-6672	445	3791	2086	2	518	116	91585
rev5884-6742	443	3927	2220	2	522	117	92673
rev5884-6843	455	4224	2324	3	518	121	92372
