Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5884-5962	5	195	168	0	502	5	82672
rev5884-6055	14	983	111	0	507	9	84195
rev5884-6110	19	1028	93	0	508	8	84566
rev5884-6265	31	1376	426	0	509	12	85326
rev5884-6362	43	1534	1096	0	510	20	86091
rev5884-6440	258	3386	2398	0	514	72	89137
rev5884-6616	484	4617	2400	0	516	120	91628
rev5884-6672	493	4905	2693	0	518	124	92183
rev5884-6742	502	4850	3852	0	522	125	93115
rev5884-6843	517	5676	4273	0	518	135	93303
