Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5531-5561	0	0	0	0	555	0	62293
rev5531-5725	5	23	66	0	576	3	63803
rev5537-5610	30	133	208	2	445	17	51866
rev5537-5673	30	133	208	2	445	17	51866
rev5676-6013	1	13	14	0	471	1	52005
rev5676-6125	1	13	14	0	475	1	53493
rev6127-6244	3	86	9	0	435	3	53081
rev6127-6310	5	133	18	0	437	5	53968
rev6127-6410	5	152	37	0	446	5	56001
rev6127-6531	6	158	43	0	454	6	56850
