Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5531-5561	1	1	2	0	555	1	61410
rev5531-5725	15	45	44	0	576	3	62571
rev5537-5610	74	1069	1186	0	445	34	50700
rev5537-5673	74	1069	1186	0	445	34	50700
rev5676-6013	2	1	2	0	471	2	50234
rev5676-6125	2	1	2	0	475	2	51580
rev6127-6244	2	21	9	0	435	2	52447
rev6127-6310	5	33	23	0	437	4	53272
rev6127-6410	5	52	42	0	446	4	55185
rev6127-6531	6	58	48	0	454	5	55984
