Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev91-208	12	135	74	0	969	6	127388
rev91-389	34	474	394	1	976	12	130171
rev91-588	59	668	572	1	977	29	131497
rev91-775	125	816	485	1	986	40	134243
rev91-1012	442	3742	2970	13	1028	121	144416
rev91-1269	509	3399	2499	21	1042	166	146916
rev91-1538	567	5436	3364	26	1048	166	150890
rev91-1825	440	3489	1506	45	1058	136	152109
rev91-2020	555	4580	2644	48	1087	164	157955
rev91-2272	864	13858	3898	52	1142	247	174152

