Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev91-208	19	1040	903	0	969	14	127144
rev91-389	45	1829	1733	0	976	27	130386
rev91-588	85	4658	4439	0	977	52	134312
rev91-775	139	5968	4568	0	986	73	138060
rev91-1012	514	8436	6591	0	1028	169	148205
rev91-1269	752	10341	8299	0	1042	264	153259
rev91-1538	781	14352	11151	0	1048	290	159573
rev91-1825	802	14167	10748	0	1058	298	162035
rev91-2020	948	17108	13308	0	1087	326	169524
rev91-2272	1514	23267	18513	0	1142	414	182250

