Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2119-2213	5	82	85	0	508	3	65379
rev2119-2290	33	414	963	0	513	18	66329
rev2119-2422	72	1086	1659	3	526	43	69887
rev2119-2471	88	1224	2030	3	527	40	70720
rev2119-2563	112	1718	2683	4	539	52	72198
rev2119-2619	120	1867	2809	4	540	54	72870
rev2620-2839	17	73	217	1	549	11	71955
rev2620-2863	24	149	339	1	549	11	72357
rev2620-2959	4	13	121	1	554	3	73190
rev2959-3203	12	158	127	0	581	6	75389
