Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2119-2213	16	166	190	0	508	11	63701
rev2119-2290	49	228	412	0	513	22	63977
rev2119-2422	97	687	1054	0	526	44	66840
rev2119-2471	139	1168	1367	0	527	51	67897
rev2119-2563	174	1809	2240	0	539	59	69734
rev2119-2619	183	1902	2302	0	540	61	70356
rev2620-2839	27	625	626	0	549	12	71149
rev2620-2863	35	714	866	0	549	13	71568
rev2620-2959	18	160	270	0	554	6	72012
rev2959-3203	12	130	93	0	581	6	74270
