Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev11338-11438	24	1829	66	1	465	7	126862
rev11338-11538	50	3402	154	2	465	12	130195
rev11338-11638	57	4556	195	3	468	16	131940
rev11338-11738	79	5539	233	3	473	24	133649
rev11338-11838	102	6622	381	4	523	33	138901
rev11338-11938	118	7462	418	4	520	35	140266
rev11338-12038	134	7685	477	6	527	41	141254
rev11338-12138	159	436	8674	6	569	45	144092
rev11338-12238	185	9334	671	6	573	57	146004
rev11338-12338	217	9827	731	7	577	63	148586
