Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev11338-11438	14	17205	170	0	465	9	141748
rev11338-11538	32	18290	261	0	465	15	143888
rev11338-11638	43	18367	347	0	468	22	144543
rev11338-11738	63	18642	434	0	473	30	145472
rev11338-11838	84	19043	662	0	523	41	149967
rev11338-11938	93	19105	683	0	520	42	150527
rev11338-12038	107	19228	731	0	527	48	151268
rev11338-12138	132	827	20834	0	569	53	153943
rev11338-12238	171	21483	1150	0	573	65	155831
rev11338-12338	202	22075	1408	0	577	73	157636
