Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5929-6010	5	108	3	0	1087	4	63848
rev5929-6135	55	660	8	1	1110	9	65660
rev5929-6198	70	1074	74	1	1191	15	67512
rev5929-6296	75	1224	115	1	1196	20	68355
rev5929-6425	563	9479	114	14	1262	41	79944
rev5929-6595	579	10039	133	18	1302	47	82502
rev5929-6700	583	10288	249	19	1298	50	83138
rev5929-6835	593	10458	237	20	1366	55	85600
rev5929-7018	593	10590	241	47	1374	61	88930
rev5929-7073	595	10626	237	47	1392	63	91162
