Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev5929-6010	4	335	3	0	1087	4	60825
rev5929-6135	11	11524	9	0	1110	11	73037
rev5929-6198	23	12370	249	0	1191	18	74672
rev5929-6296	27	12581	203	0	1196	22	75544
rev5929-6425	60	22818	204	0	1262	55	86837
rev5929-6595	70	23003	260	0	1302	62	88795
rev5929-6700	76	23769	399	0	1298	65	89932
rev5929-6835	80	24333	365	0	1366	71	92624
rev5929-7018	95	25695	421	0	1374	84	94853
rev5929-7073	101	25782	365	0	1392	86	97148
