Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4007-4051	0	0	0	0	1706	0	157517
rev4007-4103	3	16	17	0	1740	2	160782
rev4007-4212	20	212	119	1	1852	10	180040
rev4007-4321	29	345	229	1	1898	15	185431
rev4007-4394	34	516	336	1	1950	19	194488
rev4007-4516	37	561	338	1	2002	22	198121
rev4007-4908	55	866	630	5	2377	28	213610
rev4007-5081	57	878	632	5	2400	29	214655
rev5082-5155	3	32	5	0	2327	2	213007
rev5082-5351	4	29	32	0	2372	3	216027
