Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4007-4051	1	2	2	0	1706	1	158987
rev4007-4103	7	167	132	0	1740	3	162419
rev4007-4212	23	902	696	0	1852	12	181969
rev4007-4321	33	1729	2347	0	1898	18	188061
rev4007-4394	38	1900	2532	0	1950	22	197071
rev4007-4516	44	1914	2558	0	2002	26	200705
rev4007-4908	52	2886	3439	0	2377	34	216306
rev4007-5081	54	2888	1900	0	2400	35	217277
rev5082-5155	3	8	9	0	2327	2	215143
rev5082-5351	7	95	99	0	2372	4	217975
