Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2818-3036	52	960	653	6	399	24	80545
rev2818-3108	815	0	21510	243	854	198	119932
rev2818-3191	652	18267	18107	216	539	157	115819
rev2818-3306	787	20648	20454	283	518	204	114901
rev2818-3392	802	21498	21011	306	520	204	116714
rev2818-3560	796	22618	22481	268	524	208	119606
rev2818-3625	746	21225	21006	486	535	200	118867
rev2818-3786	907	22776	22697	270	544	208	122518
rev2818-3988	774	19696	19508	269	562	201	120307
rev2818-4022	725	18027	17949	274	561	187	118351
