Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2818-3036	56	1429	1462	0	399	25	79258
rev2818-3108	215	0	63643	0	854	215	145823
rev2818-3191	177	57611	57916	0	539	177	148742
rev2818-3306	233	67119	66744	0	518	233	154286
rev2818-3392	248	69751	68967	0	520	248	157215
rev2818-3560	259	71696	70923	0	524	259	160447
rev2818-3625	263	68172	67856	0	535	263	158706
rev2818-3786	255	68394	68030	0	544	255	159756
rev2818-3988	251	67989	67329	0	562	251	160358
rev2818-4022	234	66265	66270	0	561	234	159297
