Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4676-4998	14	231	2	0	409	2	84995
rev9022-9450	9	20	58	0	526	3	98861
rev9022-9462	11	15	62	0	530	3	99098
rev16588-16755	2	6	3	0	529	2	100920
rev16588-16883	2	7	2	0	530	2	101041
rev16588-17060	3	17	7	0	530	2	100945
rev16588-17316	3	13	7	0	531	2	101132
rev16588-17492	3	13	7	0	532	2	101554
rev16588-17551	3	13	7	0	541	2	101982
rev16883-16964	14	70	235	0	529	6	101334

