Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4676-4998	4	438	4	0	409	3	85194
rev9022-9450	12	43	102	0	526	3	99324
rev9022-9462	14	49	120	0	530	3	99585
rev16588-16755	2	6	3	0	529	2	101507
rev16588-16883	2	7	2	0	530	2	101629
rev16588-17060	3	17	7	0	530	2	101515
rev16588-17316	3	13	7	0	531	2	101659
rev16588-17492	3	13	7	0	532	2	102077
rev16588-17551	3	13	7	0	541	2	102515
rev16883-16964	21	111	81	0	529	6	101796

