Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev7315-7404	0	0	0	6	622	0	105972
rev7315-7444	1	3	3	9	627	1	106930
rev7315-7531	6	5	255	12	634	4	107723
rev7315-7618	6	5	259	11	642	4	108014
rev7315-7734	7	18	272	12	663	5	103856
rev7315-7844	6	3	261	19	682	4	105420
rev7315-7944	14	89	425	21	686	10	107884
rev7315-8057	24	110	519	21	698	15	108638
rev7315-8135	35	152	713	22	706	20	110229
rev7315-8375	53	180	1393	22	762	25	115564
