Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev7315-7404	3	9	6	0	622	3	100317
rev7315-7444	4	12	9	0	627	3	101276
rev7315-7531	56	74	197	0	634	6	102062
rev7315-7618	56	91	199	0	642	6	102399
rev7315-7734	58	90	215	0	663	8	98134
rev7315-7844	59	118	216	0	682	9	99616
rev7315-7944	65	146	251	0	686	14	100376
rev7315-8057	82	416	387	0	698	24	102729
rev7315-8135	86	441	402	0	706	26	104085
rev7315-8375	99	479	1246	0	762	31	109424
